Name,GlyphsName,ps_name,AGL,Order,USV,Dir,shapeOrder,DesignerOrder,Fonts,base,Glyphsbase,above,below,center,ring,through,aboveLeft,MirrorGlyph,UnicodeVer,old name / commet,bcp47tags,OTLang,Feat,,GlyphsAppName,Sort,
asciicircum,asciicircum,asciicircum,,72,005E,,72,140,*,,,,,,,,,,,,,,,,asciicircum,116,
micro,micro,uni00B5,mu,160,00B5,,160,141,*,,,,,,,,,,,,,,,,micro,117,
paragraph,paragraph,paragraph,,161,00B6,,161,142,*,,,,,,,,,,,,,,,,paragraph,118,
periodcentered,periodcentered,periodcentered,,162,00B7,,162,143,*,,,,,,,,,,,,,,,,periodcentered,119,
ordmasculine,ordmasculine,ordmasculine,,166,00BA,,166,144,*,,,,,,,,,,,,,,,,ordmasculine,120,
guillemotright,guillemetright,guillemotright,,167,00BB,,167,145,*,,,,,,,,,guillemotleft,,,,,,,guillemetright,121,
onesuperior,onesuperior,onesuperior,,165,00B9,,165,146,*,,,,,,,,,,,,,,,,onesuperior,163,
twosuperior,twosuperior,twosuperior,,157,00B2,,157,147,*,,,,,,,,,,,,,,,,twosuperior,164,
threesuperior,threesuperior,threesuperior,,158,00B3,,158,148,*,,,,,,,,,,,,,,,,threesuperior,165,
onehalf,onehalf,onehalf,,169,00BD,,169,149,*,,,,,,,,,,,,,,,,onehalf,182,
onequarter,onequarter,onequarter,,168,00BC,,168,150,*,,,,,,,,,,,,,,,,onequarter,183,
threequarters,threequarters,threequarters,,170,00BE,,170,151,*,,,,,,,,,,,,,,,,threequarters,184,
questiondown,questiondown,questiondown,,171,00BF,,171,152,*,,,,,,,,,,,,,,,,questiondown,279,
Agrave,Agrave,Agrave,,172,00C0,,172,153,*,A,A,grave,,,,,,,,,,,,,Agrave,280,
Aacute,Aacute,Aacute,,173,00C1,,173,154,*,A,A,acute,,,,,,,,,,,,,Aacute,281,
Acircumflex,Acircumflex,Acircumflex,,174,00C2,,174,155,*,A,A,circumflex,,,,,,,,,,,,,Acircumflex,282,
Atilde,Atilde,Atilde,,175,00C3,,175,156,*,A,A,tilde,,,,,,,,,,,,,Atilde,283,
Adieresis,Adieresis,Adieresis,,176,00C4,,176,157,*,A,A,dieresis,,,,,,,,,,,,,Adieresis,284,
Aring,Aring,Aring,,177,00C5,,177,158,*,A,A,ring,,,,,,,,,,,,,Aring,285,
AE,AE,AE,,178,00C6,,178,159,*,,,,,,,,,,,,,,,,AE,286,
Ccedilla,Ccedilla,Ccedilla,,179,00C7,,179,160,*,C,C,,cedilla,,,,,,,,,,,,Ccedilla,287,
Egrave,Egrave,Egrave,,180,00C8,,180,161,*,E,E,grave,,,,,,,,,,,,,Egrave,288,
Eacute,Eacute,Eacute,,181,00C9,,181,162,*,E,E,acute,,,,,,,,,,,,,Eacute,289,
Ecircumflex,Ecircumflex,Ecircumflex,,182,00CA,,182,163,*,E,E,circumflex,,,,,,,,,,,,,Ecircumflex,290,
Edieresis,Edieresis,Edieresis,,183,00CB,,183,164,*,E,E,dieresis,,,,,,,,,,,,,Edieresis,291,
Igrave,Igrave,Igrave,,184,00CC,,184,165,*,I,I,grave,,,,,,,,,,,,,Igrave,292,
Iacute,Iacute,Iacute,,185,00CD,,185,166,*,I,I,acute,,,,,,,,,,,,,Iacute,293,
Icircumflex,Icircumflex,Icircumflex,,186,00CE,,186,167,*,I,I,circumflex,,,,,,,,,,,,,Icircumflex,294,
Idieresis,Idieresis,Idieresis,,187,00CF,,187,168,*,I,I,dieresis,,,,,,,,,,,,,Idieresis,295,
Eth,Eth,Eth,,188,00D0,,188,169,*,,,,,,,,,,,,,,,,Eth,296,
Ntilde,Ntilde,Ntilde,,189,00D1,,189,170,*,N,N,tilde,,,,,,,,,,,,,Ntilde,297,
Ograve,Ograve,Ograve,,190,00D2,,190,171,*,O,O,grave,,,,,,,,,,,,,Ograve,298,
Oacute,Oacute,Oacute,,191,00D3,,191,172,*,O,O,acute,,,,,,,,,,,,,Oacute,299,
Ocircumflex,Ocircumflex,Ocircumflex,,192,00D4,,192,173,*,O,O,circumflex,,,,,,,,,,,,,Ocircumflex,300,
Otilde,Otilde,Otilde,,193,00D5,,193,174,*,O,O,tilde,,,,,,,,,,,,,Otilde,301,
Odieresis,Odieresis,Odieresis,,194,00D6,,194,175,*,O,O,dieresis,,,,,,,,,,,,,Odieresis,302,
multiply,multiply,multiply,,195,00D7,,195,176,*,,,,,,,,,,,,,,,,multiply,303,
Oslash,Oslash,Oslash,,196,00D8,,196,177,*,,,,,,,,,,,,,,,,Oslash,304,
Ugrave,Ugrave,Ugrave,,197,00D9,,197,178,*,U,U,grave,,,,,,,,,,,,,Ugrave,305,
Uacute,Uacute,Uacute,,198,00DA,,198,179,*,U,U,acute,,,,,,,,,,,,,Uacute,306,
Ucircumflex,Ucircumflex,Ucircumflex,,199,00DB,,199,180,*,U,U,circumflex,,,,,,,,,,,,,Ucircumflex,307,
Udieresis,Udieresis,Udieresis,,200,00DC,,200,181,*,U,U,dieresis,,,,,,,,,,,,,Udieresis,308,
Yacute,Yacute,Yacute,,201,00DD,,201,182,*,Y,Y,acute,,,,,,,,,,,,,Yacute,309,
Thorn,Thorn,Thorn,,202,00DE,,202,183,*,,,,,,,,,,,,,,,,Thorn,310,
germandbls,germandbls,germandbls,,203,00DF,,203,184,*,,,,,,,,,,,,,,,,germandbls,312,
agrave,agrave,agrave,,204,00E0,,204,185,*,a,a,grave,,,,,,,,,,,,,agrave,313,
aacute,aacute,aacute,,205,00E1,,205,186,*,a,a,acute,,,,,,,,,,,,,aacute,314,
acircumflex,acircumflex,acircumflex,,206,00E2,,206,187,*,a,a,circumflex,,,,,,,,,,,,,acircumflex,315,
atilde,atilde,atilde,,207,00E3,,207,188,*,a,a,tilde,,,,,,,,,,,,,atilde,316,
adieresis,adieresis,adieresis,,208,00E4,,208,189,*,a,a,dieresis,,,,,,,,,,,,,adieresis,317,
aring,aring,aring,,209,00E5,,209,190,*,a,a,ring,,,,,,,,,,,,,aring,318,
ae,ae,ae,,210,00E6,,210,191,*,,,,,,,,,,,,,,,,ae,319,
ccedilla,ccedilla,ccedilla,,211,00E7,,211,192,*,c,c,,cedilla,,,,,,,,,,,,ccedilla,320,
egrave,egrave,egrave,,212,00E8,,212,193,*,e,e,grave,,,,,,,,,,,,,egrave,321,
eacute,eacute,eacute,,213,00E9,,213,194,*,e,e,acute,,,,,,,,,,,,,eacute,322,
ecircumflex,ecircumflex,ecircumflex,,214,00EA,,214,195,*,e,e,circumflex,,,,,,,,,,,,,ecircumflex,323,
edieresis,edieresis,edieresis,,215,00EB,,215,196,*,e,e,dieresis,,,,,,,,,,,,,edieresis,324,
igrave,igrave,igrave,,216,00EC,,216,197,*,dotlessi,idotless,grave,,,,,,,,,,,,,igrave,325,
iacute,iacute,iacute,,217,00ED,,217,198,*,dotlessi,idotless,acute,,,,,,,,,,,,,iacute,326,
icircumflex,icircumflex,icircumflex,,218,00EE,,218,199,*,dotlessi,idotless,circumflex,,,,,,,,,,,,,icircumflex,327,
idieresis,idieresis,idieresis,,219,00EF,,219,200,*,dotlessi,idotless,dieresis,,,,,,,,,,,,,idieresis,328,
eth,eth,eth,,220,00F0,,220,201,*,,,,,,,,,,,,,,,,eth,332,
ntilde,ntilde,ntilde,,221,00F1,,221,202,*,n,n,tilde,,,,,,,,,,,,,ntilde,333,
ograve,ograve,ograve,,222,00F2,,222,203,*,o,o,grave,,,,,,,,,,,,,ograve,334,
oacute,oacute,oacute,,223,00F3,,223,204,*,o,o,acute,,,,,,,,,,,,,oacute,335,
ocircumflex,ocircumflex,ocircumflex,,224,00F4,,224,205,*,o,o,circumflex,,,,,,,,,,,,,ocircumflex,336,
otilde,otilde,otilde,,225,00F5,,225,206,*,o,o,tilde,,,,,,,,,,,,,otilde,337,
odieresis,odieresis,odieresis,,226,00F6,,226,207,*,o,o,dieresis,,,,,,,,,,,,,odieresis,338,
divide,divide,divide,,227,00F7,,227,208,*,,,,,,,,,,,,,,,,divide,339,
oslash,oslash,oslash,,228,00F8,,228,209,*,,,,,,,,,,,,,,,,oslash,340,
ugrave,ugrave,ugrave,,229,00F9,,229,210,*,u,u,grave,,,,,,,,,,,,,ugrave,341,
uacute,uacute,uacute,,230,00FA,,230,211,*,u,u,acute,,,,,,,,,,,,,uacute,342,
ucircumflex,ucircumflex,ucircumflex,,231,00FB,,231,212,*,u,u,circumflex,,,,,,,,,,,,,ucircumflex,343,
udieresis,udieresis,udieresis,,232,00FC,,232,213,*,u,u,dieresis,,,,,,,,,,,,,udieresis,344,
yacute,yacute,yacute,,233,00FD,,233,214,*,y,y,acute,,,,,,,,,,,,,yacute,345,
thorn,thorn,thorn,,234,00FE,,234,215,*,,,,,,,,,,,,,,,,thorn,346,
ydieresis,ydieresis,ydieresis,,235,00FF,,235,216,*,y,y,dieresis,,,,,,,,,,,,,ydieresis,347,
dotlessi,idotless,dotlessi,,236,0131,,236,217,*,,,,,,,,,,,,,,,,idotless,397,
OE,OE,OE,,116,0152,,116,218,*,,,,,,,,,,,,,,,,OE,434,
oe,oe,oe,,135,0153,,135,219,*,,,,,,,,,,,,,,,,oe,435,
Scaron,Scaron,Scaron,,114,0160,,114,220,*,S,S,caron,,,,,,,,,,,,,Scaron,448,
scaron,scaron,scaron,,133,0161,,133,221,*,s,s,caron,,,,,,,,,,,,,scaron,449,
Ydieresis,Ydieresis,Ydieresis,,137,0178,,137,222,*,Y,Y,dieresis,,,,,,,,,,,,,Ydieresis,472,
Zcaron,Zcaron,Zcaron,,117,017D,,117,223,*,Z,Z,caron,,,,,,,,,,,,,Zcaron,477,
zcaron,zcaron,zcaron,,136,017E,,136,224,*,z,z,caron,,,,,,,,,,,,,zcaron,478,
florin,florin,florin,,107,0192,,107,225,*,,,,,,,,,,,,,,,,florin,498,
grave,grave,grave,,74,0060,,74,226,*,,,,,,,,,,,,,,,,grave,816,
acute,acute,acute,,159,00B4,,159,227,*,,,,,,,,,,,,,,,,acute,817,
circumflex,circumflex,circumflex,,112,02C6,,112,228,*,,,,,,,,,,,,,,,,circumflex,818,
